produto_id,descricao_produto,codigo_produto,classificacao_id,ncm_classificado,cest_classificado,confianca_consolidada,justificativa,tempo_processamento_ms,sistema
5807,ZYXEM 5MG/ML FR 20ML GTS (ABT),000000000004009405,316,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZYXEM 5MG/ML FR 20ML GTS (ABT)...,22,unified_sqlite
13818,ZYXEM 5MG CX 10CP (ABT),000000000004009383,317,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZYXEM 5MG CX 10CP (ABT)...,3,unified_sqlite
8226,ZYXEM 5MG C 10 COMP,000000000004009383,318,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZYXEM 5MG C 10 COMP...,1,unified_sqlite
8266,ZYPREXA 10 MG C 30 COMP REV C1,000000000004009649,319,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZYPREXA 10 MG C 30 COMP REV C1...,1,unified_sqlite
10931,ZYPRED SOL OFT 6ML (AC),000000000004000316,320,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZYPRED SOL OFT 6ML (AC)...,2,unified_sqlite
7400,"ZYMAR XD 0,5% FR 5ML",000000000004001678,321,30049099,13.001.00,0.95,"Classificação automática baseada em análise de texto: ZYMAR XD 0,5% FR 5ML...",2,unified_sqlite
7148,"ZYMAR SOL OFT 0,3% 5ML",000000000004000315,322,30049099,13.001.00,0.95,"Classificação automática baseada em análise de texto: ZYMAR SOL OFT 0,3% 5ML...",1,unified_sqlite
14952,"ZYMAR SOL OFT 0,3  5ML",4000315,323,30049099,13.001.00,0.95,"Classificação automática baseada em análise de texto: ZYMAR SOL OFT 0,3  5ML...",2,unified_sqlite
13469,"ZYMAR SOL OFT 0,3  5ML",000000000004000315,324,30049099,13.001.00,0.95,"Classificação automática baseada em análise de texto: ZYMAR SOL OFT 0,3  5ML...",2,unified_sqlite
13468,"ZYMAR 0,30% FR 5ML (ALL)",000000000004000315,325,30049099,13.001.00,0.95,"Classificação automática baseada em análise de texto: ZYMAR 0,30% FR 5ML (ALL)...",1,unified_sqlite
4764,ZYLORIC 300MG CX 30CP (ASP),000000000004006084,326,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZYLORIC 300MG CX 30CP (ASP)...,1,unified_sqlite
7888,ZYLORIC 300MG 30CP,000000000004006084,327,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZYLORIC 300MG 30CP...,0,unified_sqlite
539,ZYLORIC 100MG CX 30CP (ASP),000000000004006083,328,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZYLORIC 100MG CX 30CP (ASP)...,2,unified_sqlite
7887,ZYLORIC 100MG 30CP,000000000004006083,329,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZYLORIC 100MG 30CP...,2,unified_sqlite
8219,ZYLET GTS 5ML,000000000004009353,330,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZYLET GTS 5ML...,1,unified_sqlite
13816,"ZYLET 0,5MG+0,3% FR 5ML GTS (BCH)",000000000004009353,331,30049099,13.001.00,0.95,"Classificação automática baseada em análise de texto: ZYLET 0,5MG+0,3% FR 5ML GTS (BCH)...",1,unified_sqlite
3891,ZYAD DIARIO 5MG CX 30CP (ACH),000000000004010828,332,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZYAD DIARIO 5MG CX 30CP (ACH)...,2,unified_sqlite
8396,ZYAD DIARIO 5MG C 30 COMP REV,000000000004010828,333,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZYAD DIARIO 5MG C 30 COMP REV...,1,unified_sqlite
11666,ZYAD CPR REVEST 20MG X 2,000000000004007358,334,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZYAD CPR REVEST 20MG X 2...,1,unified_sqlite
8231,ZOVIRAX CREME DERM 10G,000000000004009403,335,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZOVIRAX CREME DERM 10G...,14,unified_sqlite
8241,ZOLTEC 150MG C 1 CAPS,000000000004009457,336,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZOLTEC 150MG C 1 CAPS...,2,unified_sqlite
5383,ZOLPIDEM 10MG 30CP B1C1 EMS,000000000004011815,337,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZOLPIDEM 10MG 30CP B1C1 EMS...,1,unified_sqlite
12240,ZOLPIDEM 10MG 20CP NOVA QUIMICA,000000000004013331,338,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZOLPIDEM 10MG 20CP NOVA QUIMICA...,2,unified_sqlite
