produto_id,descricao_produto,codigo_produto,classificacao_id,ncm_classificado,cest_classificado,confianca_consolidada,justificativa,tempo_processamento_ms,sistema
5807,ZYXEM 5MG/ML FR 20ML GTS (ABT),000000000004009405,280,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZYXEM 5MG/ML FR 20ML GTS (ABT)...,22,unified_sqlite
13818,ZYXEM 5MG CX 10CP (ABT),000000000004009383,281,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZYXEM 5MG CX 10CP (ABT)...,2,unified_sqlite
8226,ZYXEM 5MG C 10 COMP,000000000004009383,282,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZYXEM 5MG C 10 COMP...,2,unified_sqlite
8266,ZYPREXA 10 MG C 30 COMP REV C1,000000000004009649,283,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZYPREXA 10 MG C 30 COMP REV C1...,2,unified_sqlite
10931,ZYPRED SOL OFT 6ML (AC),000000000004000316,284,30049099,13.001.00,0.95,Classificação automática baseada em análise de texto: ZYPRED SOL OFT 6ML (AC)...,2,unified_sqlite
7400,"ZYMAR XD 0,5% FR 5ML",000000000004001678,285,30049099,13.001.00,0.95,"Classificação automática baseada em análise de texto: ZYMAR XD 0,5% FR 5ML...",1,unified_sqlite
7148,"ZYMAR SOL OFT 0,3% 5ML",000000000004000315,286,30049099,13.001.00,0.95,"Classificação automática baseada em análise de texto: ZYMAR SOL OFT 0,3% 5ML...",2,unified_sqlite
14952,"ZYMAR SOL OFT 0,3  5ML",4000315,287,30049099,13.001.00,0.95,"Classificação automática baseada em análise de texto: ZYMAR SOL OFT 0,3  5ML...",3,unified_sqlite
13469,"ZYMAR SOL OFT 0,3  5ML",000000000004000315,288,30049099,13.001.00,0.95,"Classificação automática baseada em análise de texto: ZYMAR SOL OFT 0,3  5ML...",2,unified_sqlite
13468,"ZYMAR 0,30% FR 5ML (ALL)",000000000004000315,289,30049099,13.001.00,0.95,"Classificação automática baseada em análise de texto: ZYMAR 0,30% FR 5ML (ALL)...",1,unified_sqlite
