produto_id,descricao_produto,codigo_produto,codigo_barra,ncm_original,cest_original,classificacao_id,ncm_classificado,cest_classificado,confianca_consolidada,justificativa,consultas_agentes,tempo_processamento_ms,sistema
1,NÃO INFORMADO,XX123456789XX,,,,456,99999999,,0.1,Produto analisado: NÃO INFORMADO. NCM identificado: 99999999. CEST atribuído: Nenhum. Consultas realizadas: 1,1,46,unified_sqlite_complete
1769,ESC DENT PORTATIL PEQ L2P1 CONDOR,000000000006018453,7891055803509,96032100,2005800,457,2207,02.999.00,0.95,Produto analisado: ESC DENT PORTATIL PEQ L2P1 CONDOR. NCM identificado: 2207. CEST atribuído: 02.999.00. Consultas realizadas: 2,2,5,unified_sqlite_complete
6960,TOALHA UMED MAMYPOKO - 50UNX24PC,000000000006007003,7898953823226,96190000,,458,480300,28.057.00,0.95,Produto analisado: TOALHA UMED MAMYPOKO - 50UNX24PC. NCM identificado: 480300. CEST atribuído: 28.057.00. Consultas realizadas: 2,2,15,unified_sqlite_complete
1948,DAAZ FRAL SHORTINHO BABY G PANTS MEGA C,000000000006020145,7891522039639,96190000,2004800,459,99999999,,0.1,Produto analisado: DAAZ FRAL SHORTINHO BABY G PANTS MEGA C. NCM identificado: 99999999. CEST atribuído: Nenhum. Consultas realizadas: 1,1,19,unified_sqlite_complete
1947,DAAZ FRAL SHORTINHO BABY M PANTS MEGA C,000000000006020144,7891522039622,96190000,2004800,460,99999999,,0.1,Produto analisado: DAAZ FRAL SHORTINHO BABY M PANTS MEGA C. NCM identificado: 99999999. CEST atribuído: Nenhum. Consultas realizadas: 1,1,19,unified_sqlite_complete
1949,DAAZ FRAL SHORTINHO BABY XG PANTS MEGA C,000000000006020146,7891522039646,96190000,2004800,461,99999999,,0.1,Produto analisado: DAAZ FRAL SHORTINHO BABY XG PANTS MEGA C. NCM identificado: 99999999. CEST atribuído: Nenhum. Consultas realizadas: 1,1,19,unified_sqlite_complete
136,MINANCORA POMADA 30G,000000000004000926,78905108,30049099,1300401,462,30049099,13.001.00,0.98,Produto analisado: MINANCORA POMADA 30G. NCM identificado: 30049099. CEST atribuído: 13.001.00. Consultas realizadas: 3. Produto farmacêutico detectado - usado sistema ABC Farma,3,17,unified_sqlite_complete
2617,BUONA 150MG C/30CP,000000000004002279,7899640806539,30049099,1300401,463,30049099,13.001.00,0.98,Produto analisado: BUONA 150MG C/30CP. NCM identificado: 30049099. CEST atribuído: 13.001.00. Consultas realizadas: 3. Produto farmacêutico detectado - usado sistema ABC Farma,3,13,unified_sqlite_complete
575,CIPROFIBRATO 100MG C/30CP,000000000004007082,7899095239838,30049099,1300401,464,30049099,13.001.00,0.98,Produto analisado: CIPROFIBRATO 100MG C/30CP. NCM identificado: 30049099. CEST atribuído: 13.001.00. Consultas realizadas: 3. Produto farmacêutico detectado - usado sistema ABC Farma,3,15,unified_sqlite_complete
564,BENEGRIP 500MG CAIXA 12,000000000004007011,7896094915107,30049099,1300401,465,30049099,13.001.00,0.98,Produto analisado: BENEGRIP 500MG CAIXA 12. NCM identificado: 30049099. CEST atribuído: 13.001.00. Consultas realizadas: 3. Produto farmacêutico detectado - usado sistema ABC Farma,3,13,unified_sqlite_complete
